zipcode,major_city,county,state,population,population_density,land_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,median_household_income
22637,Gore,Frederick County,VA,1970,44,44.54,881,746,217000,69607
22645,Middletown,Frederick County,VA,3880,109,35.67,1675,1492,209500,50202
22649,Middletown,Frederick County,VA,NA,NA,NA,NA,NA,NA,NA
22654,Star Tannery,Frederick County,VA,640,10,61.85,374,271,339600,94160
22655,Stephens City,Frederick County,VA,19328,549,35.19,7559,7070,224400,76113
22656,Stephenson,Frederick County,VA,2381,284,8.39,947,893,246200,51923
22663,White Post,Frederick County,VA,1536,69,22.12,578,518,284100,59509
20810,Bethesda,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20811,Bethesda,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20812,Glen Echo,Montgomery County,MD,255,1330,0.19,100,96,758700,128750
20813,Bethesda,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20814,Bethesda,Montgomery County,MD,27642,5438,5.08,14103,13014,647800,114577
20815,Chevy Chase,Montgomery County,MD,29082,5355,5.43,13850,12851,892600,131994
20816,Bethesda,Montgomery County,MD,16208,4677,3.47,6666,6339,892600,168693
20817,Bethesda,Montgomery County,MD,36240,2613,13.87,14020,13371,807100,170293
20818,Cabin John,Montgomery County,MD,1962,1899,1.03,789,766,883300,192891
20824,Bethesda,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20825,Chevy Chase,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20827,Bethesda,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20830,Olney,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20832,Olney,Montgomery County,MD,24965,2480,10.07,8863,8661,469100,119743
20833,Brookeville,Montgomery County,MD,7735,402,19.24,2545,2477,592600,137411
20837,Poolesville,Montgomery County,MD,5789,137,42.38,2059,1965,468200,122663
20838,Barnesville,Montgomery County,MD,259,96,2.7,109,104,625000,132344
20839,Beallsville,Montgomery County,MD,214,44,4.9,81,76,450000,54917
20841,Boyds,Montgomery County,MD,10460,403,25.98,2908,2842,582900,149022
20842,Dickerson,Montgomery County,MD,1824,35,52.47,781,705,470900,78608
20847,Rockville,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20848,Rockville,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20849,Rockville,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20850,Rockville,Montgomery County,MD,46340,3286,14.1,19085,18088,536700,107459
20851,Rockville,Montgomery County,MD,14191,5979,2.37,5042,4838,332300,82201
20852,Rockville,Montgomery County,MD,40365,4850,8.32,20062,18558,465000,97600
20853,Rockville,Montgomery County,MD,29673,3293,9.01,10035,9740,430200,100435
20854,Potomac,Montgomery County,MD,49611,1470,33.75,17262,16753,883500,192648
20855,Derwood,Montgomery County,MD,14295,1090,13.11,5018,4889,453900,120603
20857,Rockville,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20859,Potomac,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20860,Sandy Spring,Montgomery County,MD,2396,630,3.81,849,793,812000,109922
20861,Ashton,Montgomery County,MD,1875,488,3.84,668,641,650200,161369
20862,Brinklow,Montgomery County,MD,343,293,1.17,124,118,634400,148875
20866,Burtonsville,Montgomery County,MD,13344,1888,7.07,4652,4466,317300,93828
20868,Spencerville,Montgomery County,MD,790,394,2.01,250,246,739600,130347
20871,Clarksburg,Montgomery County,MD,13130,640,20.53,4295,4089,444500,126685
20872,Damascus,Montgomery County,MD,13104,628,20.86,4575,4403,375100,103125
20874,Germantown,Montgomery County,MD,57367,2704,21.22,22256,21291,288400,84560
20875,Germantown,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20876,Germantown,Montgomery County,MD,25496,2187,11.66,8738,8401,350000,90702
20877,Gaithersburg,Montgomery County,MD,34321,5940,5.78,12249,11498,318900,64976
20878,Gaithersburg,Montgomery County,MD,62446,2860,21.83,23155,22268,525300,116347
20879,Gaithersburg,Montgomery County,MD,24360,3178,7.67,8371,8016,286200,89182
20880,Washington Grove,Montgomery County,MD,450,1895,0.24,204,194,448300,116429
20882,Gaithersburg,Montgomery County,MD,14063,364,38.6,4654,4534,540600,141648
20883,Gaithersburg,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20884,Gaithersburg,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20885,Gaithersburg,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20886,Montgomery Village,Montgomery County,MD,33282,7072,4.71,12759,12110,272800,77136
20889,Bethesda,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20891,Kensington,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20892,Bethesda,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20894,Bethesda,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20895,Kensington,Montgomery County,MD,19054,4694,4.06,7475,7165,554500,122896
20896,Garrett Park,Montgomery County,MD,906,3661,0.25,352,335,690500,128750
20897,Suburb Maryland Fac,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20898,Gaithersburg,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20899,Gaithersburg,Montgomery County,MD,142,1914,0.07,130,126,NA,19375
20901,Silver Spring,Montgomery County,MD,34832,6468,5.38,12912,12367,396400,93023
20902,Silver Spring,Montgomery County,MD,48841,6443,7.58,17073,16271,355500,76646
20903,Silver Spring,Montgomery County,MD,23625,6554,3.6,7318,6995,326500,56903
20904,Silver Spring,Montgomery County,MD,54612,3995,13.67,21452,20461,375200,70628
20905,Silver Spring,Montgomery County,MD,18044,1402,12.87,5977,5810,475900,116806
20906,Silver Spring,Montgomery County,MD,64696,5343,12.11,25715,24081,311700,72354
20907,Silver Spring,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20908,Silver Spring,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20910,Silver Spring,Montgomery County,MD,37445,8221,4.55,19047,17582,505500,78738
20911,Silver Spring,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20912,Takoma Park,Montgomery County,MD,24807,9307,2.67,10257,9508,432400,62204
20913,Takoma Park,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20914,Silver Spring,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20915,Silver Spring,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20916,Silver Spring,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20918,Silver Spring,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20993,Silver Spring,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
20997,Silver Spring,Montgomery County,MD,NA,NA,NA,NA,NA,NA,NA
24060,Blacksburg,Montgomery County,VA,53311,402,132.62,20255,18961,256300,39477
24061,Blacksburg,Montgomery County,VA,NA,NA,NA,NA,NA,NA,NA
24062,Blacksburg,Montgomery County,VA,NA,NA,NA,NA,NA,NA,NA
24063,Blacksburg,Montgomery County,VA,NA,NA,NA,NA,NA,NA,NA
24068,Christiansburg,Montgomery County,VA,NA,NA,NA,NA,NA,NA,NA
24073,Christiansburg,Montgomery County,VA,29793,336,88.74,13314,12349,176700,51055
24087,Elliston,Montgomery County,VA,3914,85,45.96,1707,1556,102600,43142
24138,Pilot,Montgomery County,VA,1613,60,27.06,699,640,151300,64125
24149,Riner,Montgomery County,VA,3339,63,53.13,1516,1334,187500,70097
24162,Shawsville,Montgomery County,VA,2421,52,46.69,1123,961,146900,43533
20607,Accokeek,Prince George's County,MD,9802,467,20.99,3504,3317,348900,123851
20608,Aquasco,Prince George's County,MD,919,52,17.6,426,346,337800,63274
20613,Brandywine,Prince George's County,MD,11860,157,75.61,4424,4164,329000,106571
20623,Cheltenham,Prince George's County,MD,2744,1425,1.93,892,851,302900,139960
20697,Southern Md Facility,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20703,Lanham,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20704,Beltsville,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20705,Beltsville,Prince George's County,MD,26188,1657,15.8,9281,8700,272900,76486
20706,Lanham,Prince George's County,MD,38692,3735,10.36,13065,12235,261700,69879
20707,Laurel,Prince George's County,MD,31538,2827,11.16,13576,12643,285800,76549
20708,Laurel,Prince George's County,MD,25546,1825,13.99,10733,9933,308100,60754
20709,Laurel,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20710,Bladensburg,Prince George's County,MD,9313,8472,1.1,3882,3595,207100,42962
20712,Mount Rainier,Prince George's County,MD,9031,12357,0.73,3927,3656,277300,44104
20715,Bowie,Prince George's County,MD,26382,1815,14.53,9357,9071,299300,107361
20716,Bowie,Prince George's County,MD,20787,1802,11.54,8469,8087,283000,96409
20717,Bowie,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20718,Bowie,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20719,Bowie,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20720,Bowie,Prince George's County,MD,21031,1882,11.17,7229,6932,368800,130890
20721,Bowie,Prince George's County,MD,27016,1618,16.69,9595,9187,379600,119851
20722,Brentwood,Prince George's County,MD,5711,3882,1.47,1945,1753,203900,56133
20725,Laurel,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20726,Laurel,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20731,Capitol Heights,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20735,Clinton,Prince George's County,MD,35421,1366,25.93,12617,11986,289000,100651
20737,Riverdale,Prince George's County,MD,20684,4995,4.14,6227,5758,227900,59427
20738,Riverdale,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20740,College Park,Prince George's County,MD,28780,3598,8,11011,9332,267800,61952
20741,College Park,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20742,College Park,Prince George's County,MD,7808,10539,0.74,1,1,NA,NA
20743,Capitol Heights,Prince George's County,MD,38621,3971,9.73,15511,13895,202000,57973
20744,Fort Washington,Prince George's County,MD,50722,1926,26.34,19468,18037,299300,90248
20745,Oxon Hill,Prince George's County,MD,28451,4401,6.46,12165,11025,221600,60629
20746,Suitland,Prince George's County,MD,28838,3660,7.88,12548,11538,217100,62449
20747,District Heights,Prince George's County,MD,40054,5247,7.63,16486,15324,214400,61188
20748,Temple Hills,Prince George's County,MD,38792,4271,9.08,16684,15530,235800,62112
20749,Fort Washington,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20750,Oxon Hill,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20752,Suitland,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20753,District Heights,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20757,Temple Hills,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20762,Andrews Air Force Base,Prince George's County,MD,2973,504,5.9,1385,983,NA,51631
20768,Greenbelt,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20769,Glenn Dale,Prince George's County,MD,6604,860,7.68,2150,2077,400300,118990
20770,Greenbelt,Prince George's County,MD,25173,3064,8.22,11407,10653,207700,59857
20771,Greenbelt,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20772,Upper Marlboro,Prince George's County,MD,42625,596,71.56,16207,15364,294700,99183
20773,Upper Marlboro,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20774,Upper Marlboro,Prince George's County,MD,43013,1238,34.73,17131,16354,291700,91855
20775,Upper Marlboro,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20781,Hyattsville,Prince George's County,MD,11440,4694,2.44,4093,3805,245200,66210
20782,Hyattsville,Prince George's County,MD,30560,7213,4.24,11552,10798,268300,59574
20783,Hyattsville,Prince George's County,MD,44487,7903,5.63,13891,12861,229400,57787
20784,Hyattsville,Prince George's County,MD,29449,6917,4.26,10155,9316,227700,56678
20785,Hyattsville,Prince George's County,MD,35052,3554,9.86,14864,12741,224900,60324
20787,Hyattsville,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20788,Hyattsville,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20790,Capitol Heights,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20791,Capitol Heights,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20792,Upper Marlboro,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20797,Southern Md Facility,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
20799,Capitol Heights,Prince George's County,MD,NA,NA,NA,NA,NA,NA,NA
22301,Alexandria,Alexandria city,VA,11162,8015,1.39,5017,4845,658600,119443
22302,Alexandria,Alexandria city,VA,16485,7336,2.25,8935,8142,388700,94446
22304,Alexandria,Alexandria city,VA,44300,9561,4.63,22966,21899,340300,76061
22305,Alexandria,Alexandria city,VA,15440,11434,1.35,6863,6384,519400,78220
22311,Alexandria,Alexandria city,VA,17560,11423,1.54,8744,8241,440900,66319
22313,Alexandria,Alexandria City,VA,NA,NA,NA,NA,NA,NA,NA
22314,Alexandria,Alexandria city,VA,29653,7818,3.79,17584,16107,622600,117037
22320,Alexandria,Alexandria City,VA,NA,NA,NA,NA,NA,NA,NA
22321,Alexandria,Alexandria City,VA,NA,NA,NA,NA,NA,NA,NA
22331,Alexandria,Alexandria City,VA,NA,NA,NA,NA,NA,NA,NA
22332,Alexandria,Alexandria City,VA,NA,NA,NA,NA,NA,NA,NA
22333,Alexandria,Alexandria City,VA,NA,NA,NA,NA,NA,NA,NA
22334,Alexandria,Alexandria City,VA,NA,NA,NA,NA,NA,NA,NA
22336,Alexandria,Alexandria City,VA,NA,NA,NA,NA,NA,NA,NA
22201,Arlington,Arlington County,VA,33476,14311,2.34,18985,17863,601600,113683
22202,Arlington,Arlington County,VA,22543,5824,3.87,15278,13111,585600,110092
22203,Arlington,Arlington County,VA,21850,14241,1.53,12018,11266,517000,95410
22204,Arlington,Arlington County,VA,47233,11489,4.11,21078,19775,416900,76052
22205,Arlington,Arlington County,VA,17087,6314,2.71,6628,6412,687500,140819
22206,Arlington,Arlington County,VA,19051,9303,2.05,10689,10024,406000,98985
22207,Arlington,Arlington County,VA,30920,4794,6.45,11729,11303,811400,169636
22209,Arlington,Arlington County,VA,12314,20528,0.6,7975,7316,557900,93906
22210,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22211,Fort Myer,Arlington County,VA,648,370,1.75,61,55,NA,25000
22212,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22213,Arlington,Arlington County,VA,2936,5153,0.57,1231,1183,590300,141458
22214,Arlington,Arlington County,VA,0,NA,0,0,0,NA,NA
22215,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22216,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22217,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22218,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22219,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22222,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22223,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22225,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22226,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22227,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22229,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22230,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22234,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22240,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22241,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22242,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22243,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22244,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22245,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
22246,Arlington,Arlington County,VA,NA,NA,NA,NA,NA,NA,NA
20130,Paris,Clarke County,VA,281,34,8.3,161,123,330900,51458
20135,Bluemont,Clarke County,VA,2834,64,44.56,1349,1157,363100,90083
22611,Berryville,Clarke County,VA,8757,108,80.8,3676,3354,348100,76319
22620,Boyce,Clarke County,VA,2348,51,45.74,1147,964,333100,87353
22646,Millwood,Clarke County,VA,205,104,1.97,107,86,484500,64097
20106,Amissville,Culpeper County,VA,5142,85,60.24,2040,1871,375800,80031
22701,Culpeper,Culpeper County,VA,31444,192,163.41,12394,11369,222200,59808
22713,Boston,Culpeper County,VA,1406,53,26.65,605,523,252500,59796
22714,Brandy Station,Culpeper County,VA,1129,51,22.32,416,370,250000,70625
22718,Elkwood,Culpeper County,VA,534,22,24.55,223,208,333800,68673
22724,Jeffersonton,Culpeper County,VA,2282,108,21.1,825,778,346800,73229
22726,Lignum,Culpeper County,VA,776,49,15.77,276,253,234600,40066
22729,Mitchells,Culpeper County,VA,1338,242,5.53,58,49,NA,NA
22733,Rapidan,Culpeper County,VA,1469,31,47.49,559,495,346400,59097
22735,Reva,Culpeper County,VA,2277,69,33.19,905,818,309500,66000
22736,Richardsville,Culpeper County,VA,732,25,28.83,269,247,262800,83056
22737,Rixeyville,Culpeper County,VA,2936,73,40.29,1144,1051,244800,75585
22741,Stevensburg,Culpeper County,VA,182,22,8.31,80,72,187500,56125
20120,Centreville,Fairfax County,VA,40695,2370,17.17,14217,13851,412700,111272
20121,Centreville,Fairfax County,VA,27988,3238,8.64,10357,9896,330700,92115
20122,Centreville,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
20124,Clifton,Fairfax County,VA,14857,699,21.27,5052,4918,640000,167400
20151,Chantilly,Fairfax County,VA,21374,1376,15.54,6828,6661,452400,122054
20153,Chantilly,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
20170,Herndon,Fairfax County,VA,41236,4706,8.76,13713,13224,402000,104371
20171,Herndon,Fairfax County,VA,45887,3791,12.1,16823,16256,545700,141433
20172,Herndon,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
20190,Reston,Fairfax County,VA,17529,3887,4.51,9231,8644,408000,94806
20191,Reston,Fairfax County,VA,29128,3542,8.22,12071,11631,431500,108013
20192,Herndon,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
20193,Reston,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
20194,Reston,Fairfax County,VA,13165,4169,3.16,5900,5665,568500,131926
20195,Reston,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
20196,Reston,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
20598,Dhs,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22003,Annandale,Fairfax County,VA,55990,4501,12.44,19923,19279,457600,93823
22009,Burke,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22015,Burke,Fairfax County,VA,43102,5148,8.37,15133,14828,447400,120575
22027,Dunn Loring,Fairfax County,VA,2362,3707,0.64,781,764,725800,187768
22030,Fairfax,Fairfax County,VA,55066,2918,18.87,19487,18561,479700,102140
22031,Fairfax,Fairfax County,VA,29795,4378,6.81,12048,11519,491800,106728
22032,Fairfax,Fairfax County,VA,29377,3957,7.42,10009,9819,495300,128483
22033,Fairfax,Fairfax County,VA,37691,4984,7.56,16083,15489,420400,103052
22035,Fairfax,Fairfax County,VA,0,NA,0,0,0,NA,NA
22039,Fairfax Station,Fairfax County,VA,18364,777,23.64,6104,6011,731800,196637
22041,Falls Church,Fairfax County,VA,27989,10008,2.8,11174,10617,351500,73839
22042,Falls Church,Fairfax County,VA,33537,5073,6.61,12495,12019,419600,94135
22043,Falls Church,Fairfax County,VA,24302,5099,4.77,9767,9365,517000,103972
22044,Falls Church,Fairfax County,VA,14092,6444,2.19,5909,5612,506100,72977
22060,Fort Belvoir,Fairfax County,VA,8878,682,13.02,2928,2614,500900,78506
22066,Great Falls,Fairfax County,VA,18099,671,26.98,6054,5830,990400,214219
22067,Greenway,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22079,Lorton,Fairfax County,VA,32059,1096,29.24,11245,10839,405000,99025
22081,Merrifield,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22082,Merrifield,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22092,Herndon,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22095,Herndon,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22096,Reston,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22101,Mc Lean,Fairfax County,VA,29887,2191,13.64,11345,10871,895600,180540
22102,Mc Lean,Fairfax County,VA,21985,2097,10.48,10608,9738,759100,112427
22103,West Mclean,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22106,Mc Lean,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22107,Mc Lean,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22108,Mc Lean,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22109,Mc Lean,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22116,Merrifield,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22118,Merrifield,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22119,Merrifield,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22120,Merrifield,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22121,Mount Vernon,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22122,Newington,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22124,Oakton,Fairfax County,VA,17558,1733,10.13,6834,6572,694800,156912
22150,Springfield,Fairfax County,VA,27105,3608,7.51,9489,9092,374400,86486
22151,Springfield,Fairfax County,VA,17456,3413,5.11,5932,5769,389100,99527
22152,Springfield,Fairfax County,VA,28550,4806,5.94,10636,10396,413700,113351
22153,Springfield,Fairfax County,VA,31285,3518,8.89,10676,10466,459900,135641
22156,Springfield,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22158,Springfield,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22159,Springfield,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22160,Springfield,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22161,Springfield,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22180,Vienna,Fairfax County,VA,23491,4042,5.81,8812,8485,598100,127205
22181,Vienna,Fairfax County,VA,14879,2614,5.69,5519,5361,632500,150929
22182,Vienna,Fairfax County,VA,24863,2114,11.76,9143,8601,751500,160631
22183,Vienna,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22184,Vienna,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22185,Vienna,Fairfax County,VA,0,NA,0,0,0,NA,NA
22199,Lorton,Fairfax County,VA,NA,NA,NA,NA,NA,NA,NA
22303,Alexandria,Fairfax County,VA,12601,8648,1.46,6858,6234,333500,83281
22306,Alexandria,Fairfax County,VA,32326,4462,7.24,12312,11734,382800,61975
22307,Alexandria,Fairfax County,VA,9581,3321,2.89,4655,4417,477700,103143
22308,Alexandria,Fairfax County,VA,12737,2834,4.5,4741,4610,628800,163632
22309,Alexandria,Fairfax County,VA,33220,4409,7.53,12264,11614,376900,81458
22310,Alexandria,Fairfax County,VA,29609,4132,7.17,11818,11414,383800,108482
22312,Alexandria,Fairfax County,VA,30614,5715,5.36,11919,11420,409700,76845
22315,Alexandria,Fairfax County,VA,26202,4793,5.47,10988,10621,429700,128008
22034,Fairfax,Fairfax City,VA,NA,NA,NA,NA,NA,NA,NA
22036,Fairfax,Fairfax City,VA,NA,NA,NA,NA,NA,NA,NA
22037,Fairfax,Fairfax City,VA,NA,NA,NA,NA,NA,NA,NA
22038,Fairfax,Fairfax City,VA,NA,NA,NA,NA,NA,NA,NA
22040,Falls Church,Falls Church City,VA,NA,NA,NA,NA,NA,NA,NA
22046,Falls Church,Falls Church city,VA,16235,5738,2.83,6649,6313,621100,126711
22047,Falls Church,Falls Church City,VA,NA,NA,NA,NA,NA,NA,NA
20115,Marshall,Fauquier County,VA,5838,61,95.2,2522,2242,405700,70845
20116,Marshall,Fauquier County,VA,NA,NA,NA,NA,NA,NA,NA
20119,Catlett,Fauquier County,VA,3946,62,63.86,1515,1399,341500,111339
20128,Orlean,Fauquier County,VA,NA,NA,NA,NA,NA,NA,NA
20137,Broad Run,Fauquier County,VA,1510,88,17.21,580,546,371800,108333
20138,Calverton,Fauquier County,VA,NA,NA,NA,NA,NA,NA,NA
20139,Casanova,Fauquier County,VA,217,66,3.27,100,94,346700,144464
20140,Rectortown,Fauquier County,VA,NA,NA,NA,NA,NA,NA,NA
20144,Delaplane,Fauquier County,VA,1012,25,40.21,496,403,795100,115667
20184,Upperville,Fauquier County,VA,839,21,39.62,471,356,772400,174526
20185,Upperville,Fauquier County,VA,NA,NA,NA,NA,NA,NA,NA
20186,Warrenton,Fauquier County,VA,14557,226,64.44,5977,5604,336700,78161
20187,Warrenton,Fauquier County,VA,15252,315,48.49,5343,5129,389100,116206
20188,Warrenton,Fauquier County,VA,NA,NA,NA,NA,NA,NA,NA
20198,The Plains,Fauquier County,VA,2492,34,72.82,1229,1037,567300,61837
22639,Hume,Fauquier County,VA,560,30,18.67,267,233,605300,103125
22643,Markham,Fauquier County,VA,197,34,5.74,95,82,870200,79412
22712,Bealeton,Fauquier County,VA,8415,232,36.22,3013,2819,233100,76013
22720,Goldvein,Fauquier County,VA,1059,51,20.67,445,406,425700,74708
22728,Midland,Fauquier County,VA,3310,73,45.24,1241,1169,352800,96667
22734,Remington,Fauquier County,VA,3187,106,30.04,1172,1095,209600,67125
22739,Somerville,Fauquier County,VA,NA,NA,NA,NA,NA,NA,NA
22742,Sumerduck,Fauquier County,VA,1926,87,22.16,695,659,290100,78796
22401,Fredericksburg,Fredericksburg city,VA,24286,2326,10.44,10467,9505,314300,47040
22402,Fredericksburg,Fredericksburg City,VA,NA,NA,NA,NA,NA,NA,NA
22403,Fredericksburg,Fredericksburg City,VA,NA,NA,NA,NA,NA,NA,NA
22404,Fredericksburg,Fredericksburg City,VA,NA,NA,NA,NA,NA,NA,NA
22412,Fredericksburg,Fredericksburg City,VA,NA,NA,NA,NA,NA,NA,NA
20101,Dulles,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20102,Dulles,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20103,Dulles,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20104,Dulles,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20105,Aldie,Loudoun County,VA,11315,305,37.13,3855,3682,448000,127464
20107,Arcola,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20117,Middleburg,Loudoun County,VA,2693,60,44.74,1469,1168,539500,103214
20118,Middleburg,Loudoun County,VA,7,680,0.01,3,3,NA,NA
20129,Paeonian Springs,Loudoun County,VA,618,192,3.21,216,193,813700,180481
20131,Philomont,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20132,Purcellville,Loudoun County,VA,15900,192,82.91,5466,5154,470800,129180
20134,Purcellville,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20141,Round Hill,Loudoun County,VA,6131,225,27.23,2116,1987,402400,124180
20142,Round Hill,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20146,Ashburn,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
